dist_name,state_name,dist_code,lat,lon
Vadodara,Gujarat,125,22.2973142,73.1942567
Bhavnagar,Gujarat,126,21.7718836,72.1416449
Jamnagar,Gujarat,129,22.4732415,70.0552102
Junagadh,Gujarat,130,21.5220416,70.4582458
Kheda,Gujarat,131,22.8532503,72.9953586
Kutch,Gujarat,132,23.583333,70.0
Mehsana,Gujarat,133,23.6012628,72.3741516
Panchmahal,Gujarat,134,22.6978099,73.5980682
Rajkot,Gujarat,135,22.3053263,70.8028377
Sabarkantha,Gujarat,136,23.8688506,73.013784
Surat,Gujarat,137,21.2094892,72.8317058
Surendranagar,Gujarat,138,22.8251395,71.6209736
Ajmer,Rajasthan,139,26.4691,74.639
Alwar,Rajasthan,140,27.4140049,76.6170387
Banswara,Rajasthan,141,23.4915047,74.3502172
Barmer,Rajasthan,142,25.5814853,71.1924922
Bharatpur,Rajasthan,143,27.0246959,77.2920116
Bhilwara,Rajasthan,144,25.470994,74.6961316
Bikaner,Rajasthan,145,28.0159286,73.3171367
Bundi,Rajasthan,146,25.4367659,75.7361471
Chittorgarh,Rajasthan,147,24.7171578,74.4718129
Churu,Rajasthan,148,28.2047781,74.6912996
Dungarpur,Rajasthan,149,23.8538893,73.7087177
Ganganagar,Rajasthan,150,25.9061389,76.4815499
Jaipur,Rajasthan,151,26.9154576,75.8189817
Jaisalmer,Rajasthan,152,27.0264162,70.777512
Jalore,Rajasthan,153,25.2093482,72.3178889
Jhalawar,Rajasthan,154,24.3132368,76.5221078
Jhunjhunu,Rajasthan,155,28.0798944,75.5424211
Jodhpur,Rajasthan,156,26.2967719,73.0351433
Kota,Rajasthan,157,25.1737019,75.8574194
Nagaur,Rajasthan,158,26.9873443,73.7389011
Pali,Rajasthan,159,25.4552211,73.419389
Swami Madhopur,Rajasthan,160,,
Sikar,Rajasthan,161,27.6624156,75.0279971
Sirohi,Rajasthan,162,24.8114047,72.8300257
Tonk,Rajasthan,163,26.1223198,75.6632235
Udaipur,Rajasthan,164,24.578721,73.6862571
Gurdaspur,Punjab,165,31.9037264,75.2275587
Amritsar,Punjab,166,31.6356659,74.8787496
Kapurthala,Punjab,167,31.3856476,75.3053304
Jalandhar,Punjab,168,31.2922312,75.5678878
Hoshiarpur,Punjab,169,31.6092942,75.8459754
Roopnagar,Punjab,170,30.9688367,76.526088
Ludhiana,Punjab,171,30.9090157,75.851601
Ferozpur,Punjab,172,30.4002579,74.0327747
Faridkot,Punjab,173,30.6014507,74.7950176
Bhatinda,Punjab,174,30.206791,74.9463699
Sangrur,Punjab,175,30.135717,75.8533326
Patiala,Punjab,176,30.2092778,76.3397231
Hissar,Haryana,177,29.7844126,76.4739115
Sirsa,Haryana,178,29.6063041,74.9036568
Bhiwani,Haryana,179,28.7931703,76.1391283
Gurgaon,Haryana,180,28.4646148,77.0299194
Jind,Haryana,181,29.3152073,76.314082
Mahendragarh,Haryana,182,28.1326971,76.1697448
Ambala,Haryana,183,30.3843674,76.770421
Karnal,Haryana,184,29.7255766,76.9106924
Rohtak,Haryana,186,28.9010899,76.5801935
Sonepat,Haryana,187,28.99197,77.0342633
Faridabad,Haryana,188,28.4031478,77.3105561
Saharanpur,Uttar Pradesh,189,29.9856799,77.5040646
Muzaffarnagar,Uttar Pradesh,190,29.4496979,77.7429333
Meerut,Uttar Pradesh,191,29.0018557,77.7679671
Buland Shahar,Uttar Pradesh,192,,
Ghaziabad,Uttar Pradesh,193,28.7749966,77.4586967
Aligarh,Uttar Pradesh,194,27.8761073,78.1358153
Mathura,Uttar Pradesh,195,27.4955539,77.6855554
Agra,Uttar Pradesh,196,27.1752554,78.0098161
Mainpuri,Uttar Pradesh,197,27.2093072,79.0625369
Etah,Uttar Pradesh,198,27.5550357,78.5992221
Bareilly,Uttar Pradesh,199,28.4582345,79.4047452
Budaun,Uttar Pradesh,200,28.0367001,79.1234
Moradabad,Uttar Pradesh,201,28.8796553,78.8095335
Shahjahanpur,Uttar Pradesh,202,27.9128583,79.7476254
Pilibhit,Uttar Pradesh,203,28.4947158,80.1076122
Rampur,Uttar Pradesh,204,28.7934728,79.1845806
Bijnor,Uttar Pradesh,205,29.4074203,78.4821406
Farrukhabad,Uttar Pradesh,206,27.4362003,79.4894778
Etawah,Uttar Pradesh,207,26.7155629,79.0917098
Fatehpur,Uttar Pradesh,209,25.8348023,80.9154547
Allahabad,Uttar Pradesh,210,25.4381302,81.8338005
Jhansi,Uttar Pradesh,211,25.529855,78.6527802
Lalitpur,Uttar Pradesh,212,24.6999688,78.51862
Jalaun,Uttar Pradesh,213,26.1048633,79.3919136
Hamirpur,Uttar Pradesh,214,25.75,80.0
Banda,Uttar Pradesh,215,25.4438537,80.5595237
Varanasi,Uttar Pradesh,216,25.3356491,83.0076292
Mirzpur,Uttar Pradesh,217,,
Jaunpur,Uttar Pradesh,218,25.7967065,82.4888992
Ghazipur,Uttar Pradesh,219,25.6034863,83.5075888
Ballia,Uttar Pradesh,220,25.8749595,84.1210329
Gorakhpur,Uttar Pradesh,221,26.6677977,83.3642334
Deoria,Uttar Pradesh,222,26.4239911,83.7638578
Basti,Uttar Pradesh,223,26.8387083,82.5350919
Azamgarh,Uttar Pradesh,224,26.023639,83.0293105
Lucknow,Uttar Pradesh,225,26.8381,80.9346001
Unnao,Uttar Pradesh,226,26.5673264,80.6198193
Rae - Bareily,Uttar Pradesh,227,,
Sitapur,Uttar Pradesh,228,27.5026748,80.8335139
Hardoi,Uttar Pradesh,229,27.3369978,80.0998232
Kheri,Uttar Pradesh,230,28.116667,80.716667
Faizabad,Uttar Pradesh,231,26.7807986,82.1486589
Gonda,Uttar Pradesh,232,27.1103723,81.9238906
Bahraich,Uttar Pradesh,233,27.7343823,81.47654
Sultanpur,Uttar Pradesh,234,26.2604732,82.2380532
Pratapgarh,Uttar Pradesh,235,25.75,81.75
Barabanki,Uttar Pradesh,236,26.9421406,81.3856087
Nainital,Uttarakhand,237,29.294995,79.4162511
Rajnandgaon,Chhattisgarh,501,21.0684425,80.7970779
Bhopal,Madhya Pradesh,502,23.2584857,77.401989
Vizianagaram,Andhra Pradesh,503,18.1141255,83.4114389
Prakasam,Andhra Pradesh,504,15.6642644,79.4733001
Dharmapuri,Tamil Nadu,506,12.1456131,78.1132217
Periyar(Erode),Tamil Nadu,507,11.4545717,77.4325168
Pudukkottai,Tamil Nadu,508,10.2903072,78.8173617
Dindigul Anna,Tamil Nadu,509,10.236015,77.49351
Virudhunagar Kamarajar,Tamil Nadu,510,,
Sivagangai Pasumpon,Tamil Nadu,512,,
Chidambanar Toothukudi,Tamil Nadu,513,,
Jalna,Maharashtra,514,19.918833,75.8708599
Latur,Maharashtra,515,18.3553347,76.7548997
Gadchiroli,Maharashtra,516,19.7590704,80.1622807
Gandhinagar,Gujarat,518,23.2232877,72.6492267
Dholpur,Rajasthan,519,26.7010642,77.896749
Rangareddy,Telangana,520,16.9344152,77.7788338
Thiruvannamalai,Tamil Nadu,521,9.539867,77.6197904
Yamunanagar,Haryana,523,30.1231349,77.286329
Kaithal,Haryana,524,29.7996588,76.3989903
Panipat,Haryana,525,29.3912753,76.9771675
Rewari,Haryana,526,28.1956468,76.6165179
Haridwar,Uttarakhand,527,29.9384473,78.1452985
Firozabad,Uttar Pradesh,528,27.1941954,78.4604956
Sonbhadra,Uttar Pradesh,529,24.4148159,83.0637517
Mau,Uttar Pradesh,530,26.0390905,83.4985846
Mahrajgani,Uttar Pradesh,531,,
Sidharthnagar,Uttar Pradesh,532,,
Mahoba,Uttar Pradesh,533,25.3615938,79.706011
Baran,Rajasthan,536,24.9208165,76.6821985
Dausa,Rajasthan,537,26.8048659,76.4437457
Rajsamand,Rajasthan,538,25.2892459,73.8241077
Hanumangarh,Rajasthan,539,29.3659533,74.298429
Nagapattinam,Tamil Nadu,542,10.6026203,79.7619348
Villupuram,Tamil Nadu,543,11.9398285,79.4945645
Mansa,Punjab,545,29.8764133,75.4889564
Fatehgarh Sahib,Punjab,546,30.6634042,76.3803
Kanpur Nagar,Uttar Pradesh,547,26.4410107,80.2652803
Kanpur Dehat,Uttar Pradesh,548,26.4585639,79.8548052
Bangalore(Rural),Karnataka,549,13.0010872,77.3361225
Bangalore(Urban),Karnataka,550,13.0,77.583333
Bilashpur,Himachal Pradesh,626,,
Chamba,Himachal Pradesh,627,32.6923316,76.1631552
Hamirpur,Himachal Pradesh,628,31.6539866,76.5403633
Kangra,Himachal Pradesh,629,32.0768665,76.2985872
Kinnaur,Himachal Pradesh,630,31.593013,78.3281417
Solan,Himachal Pradesh,633,30.9077569,77.1023645
Mandi,Himachal Pradesh,634,31.6516617,77.0092542
Shimla,Himachal Pradesh,635,31.1040393,77.1707923
Sirmaur,Himachal Pradesh,636,30.6991321,77.4465304
Una,Himachal Pradesh,637,31.5834642,76.2351452
Ganjam,Orissa,705,19.6090068,84.7080633
Kalahandi,Orissa,706,19.8265757,83.0408702
Keonjhar,Orissa,707,21.5,85.5
Koraput,Orissa,708,18.7232023,82.6100596
Mayurbhanja,Orissa,709,,
Phulbani(Kandhamal),Orissa,710,20.4762322,84.2348517
Sambalpur,Orissa,712,21.5570606,84.1528515
Sundargarh,Orissa,713,22.0605153,83.9359154
Gajapati,Orissa,720,19.1966026,84.1930634
Nuapada,Orissa,721,20.5412657,82.5292352
Malkangiri,Orissa,722,18.2744685,81.9520316
Nawarangpur,Orissa,723,,
Rayagada,Orissa,724,19.4426698,83.5873053
Nayagarh,Orissa,726,20.2393682,85.050728
Bargarh,Orissa,729,21.2319922,83.5652737
Jharsuguda,Orissa,731,21.8019368,83.9713964
Murshidabad,West Bengal,804,24.1745993,88.2721335
Burdwan,West Bengal,805,23.2495714,87.8681751
Birbhum,West Bengal,806,24.0621532,87.6982823
Bankura,West Bengal,807,23.132377,87.2081925
Hooghly,West Bengal,810,22.9099402,88.0120825
Cooch Behar,West Bengal,816,26.2559197,89.4201143
Purulia,West Bengal,817,23.2020967,86.3228988
West Midnapore,West Bengal,824,22.4188528,87.307174
Muzaffarpur,Bihar,902,26.1482548,85.3316097
Darbhanga,Bihar,903,26.0829899,86.0324951
Saran,Bihar,906,25.9214451,84.7759731
Patna,Bihar,907,25.6093239,85.1235252
Mungair,Bihar,908,,
Bhagalpur,Bihar,909,25.2861354,87.1304229
Santhal Paragana Dumka,Jharkhand,910,,
Gaya,Bihar,912,24.7964355,85.0079563
Hazaribagh,Jharkhand,913,24.0866962,85.4912231
Dhanbad,Jharkhand,914,23.7952809,86.4309638
Palamau,Jharkhand,915,23.8955106,84.2306
Ranchi,Jharkhand,916,23.3700501,85.3250387
Nawada,Bihar,919,24.8173249,85.5179085
Bhojpur,Bihar,921,25.4501182,84.5635193
Rohtas,Bihar,922,24.9394143,84.0197031
Siwan,Bihar,923,26.131008,84.3910745
Gopalganj,Bihar,924,26.4211166,84.3739133
Champaran(East),Bihar,925,26.6147108,84.9144431
Champaran(West),Bihar,926,26.801454,84.509224
Vaishali,Bihar,927,25.7491703,85.3972164
Sitamarhi,Bihar,928,26.5942841,85.500428
Madhubani,Bihar,929,26.3503076,86.2296424
Samastipur,Bihar,930,25.7747885,85.8672314
Begusarai,Bihar,931,25.5125411,86.0883392
Katihar,Bihar,932,25.5586421,87.6457196
Giridih,Jharkhand,933,24.3314546,86.1548117
Madhepura,Bihar,935,25.7806118,86.9364753
Godda,Jharkhand,937,24.8645886,87.2984838
Sahebganj,Jharkhand,938,25.0320437,87.691764
Devghar Deogarh,Jharkhand,940,,
Gumla,Jharkhand,942,23.1603759,84.4599565
Singhbhum East,Jharkhand,943,22.7717698,86.2026186
Singhbhum West,Jharkhand,944,22.5465466,85.8055394
Araria,Bihar,945,26.1346459,87.4654062
Buxar,Bihar,947,25.5044834,84.1097525
Bhabhua Kaimur,Bihar,948,,
Banka,Bihar,949,24.8328273,86.8161114
Jamui,Bihar,950,24.7562514,86.3011128
Chatra,Jharkhand,952,24.1062316,84.8623379
Bokaro,Jharkhand,953,23.6991279,85.9910689
Gadva Garhwa,Jharkhand,954,,
Khodrama Koderma,Jharkhand,955,,
Sheohar,Bihar,960,26.4934234,85.2717561
Jamtara,Jharkhand,962,23.9801639,86.9243637
Sariakela Kharsawan,Jharkhand,964,,
Simdega,Jharkhand,965,22.5904573,84.5464805
Anand,Gujarat,1001,22.4739858,72.7361779
Dahod,Gujarat,1002,22.9194099,74.1342725
Narmada,Gujarat,1003,21.7392624,73.6262458
Navsari,Gujarat,1004,20.952407,72.9323831
Patan,Gujarat,1005,23.773753,71.6798581
Porbandar,Gujarat,1006,21.602975,69.8538067
Fatehabad,Haryana,1007,29.5359209,75.5752901
Jhajjar,Haryana,1008,28.5964461,76.6505366
Panchkula,Haryana,1009,30.6975401,76.8551066
Bagalkote,Karnataka,1010,16.2903648,75.5915819
Chamaraja Nagar,Karnataka,1011,,
Davanagere,Karnataka,1012,14.2558835,75.8303421
Gadag,Karnataka,1013,15.416692,75.6815801
Haveri,Karnataka,1014,14.7180268,75.3656423
Koppal,Karnataka,1015,15.5748238,76.3118494
Udupi,Karnataka,1016,13.5269784,74.8731879
S.B.S Nagar,Punjab,1017,30.8874524,75.8086246
Shri Mukatsar Sahib,Punjab,1018,30.473694,74.510425
Moga,Punjab,1019,30.7877554,75.159359
Karoli,Rajasthan,1020,27.673723,76.661911
Karur,Tamil Nadu,1022,10.8217671,78.3828654
Namakkal,Tamil Nadu,1023,11.3033889,78.118604
Perambular,Tamil Nadu,1024,,
Theni,Tamil Nadu,1025,9.8692558,77.4222974
Thiruvallur,Tamil Nadu,1027,13.2537619,80.0562572
Ambedkar Nagar,Uttar Pradesh,1028,26.4045941,82.6065154
Kushi Nagar Padrauna,Uttar Pradesh,1029,,
Udham Singh Nagar,Uttarakhand,1030,29.0478314,79.4326164
Auraiya,Uttar Pradesh,1031,26.6558215,79.5160757
Bagpat,Uttar Pradesh,1033,28.9672601,77.6647822
Balrampur,Uttar Pradesh,1034,27.4476988,82.3956245
Chandauli,Uttar Pradesh,1036,25.125695,83.2494601
Chitrakoot,Uttar Pradesh,1037,25.217139,81.1045927
G.B.Nagar,Uttar Pradesh,1038,28.6314547,77.4154482
Hathras,Uttar Pradesh,1039,27.5724324,78.1116209
Amroha J.B.Fulenagar,Uttar Pradesh,1040,,
Kannauj,Uttar Pradesh,1041,26.9986675,79.6927946
Kushambi,Uttar Pradesh,1042,,
Santh Ravi Das Nagar Bhadoi,Uttar Pradesh,1044,,
Santh Kabir Nagar,Uttar Pradesh,1045,,
Shravasti,Uttar Pradesh,1046,27.5083429,82.0263569
Dindori,Madhya Pradesh,1057,22.9070871,80.8846924
Harda,Madhya Pradesh,1058,22.2427973,77.1179173
Barwani,Madhya Pradesh,1060,21.7514248,74.8915957
Katni,Madhya Pradesh,1061,23.7176393,80.2610181
Neemuch,Madhya Pradesh,1062,24.6305517,75.1829
Sheopur Kalan,Madhya Pradesh,1063,25.6713529,76.7005775
Umaria,Madhya Pradesh,1064,23.6431837,80.9419078
Koriya,Chhattisgarh,1065,23.476254,82.4776374
Jashpur,Chhattisgarh,1066,22.770251,83.9708013
Korba,Chhattisgarh,1067,22.5198217,82.6350029
Kawardha,Chhattisgarh,1068,22.0059254,81.2332055
Mahasmund,Chhattisgarh,1069,,
Anuppur,Madhya Pradesh,1071,23.0346179,81.7510255
Hingoli,Maharashtra,1073,19.5431163,77.1739432
Nandurbar,Maharashtra,1074,21.5141622,74.5405513
Washim,Maharashtra,1075,20.2874178,77.2369655
Ariyalur,Tamil Nadu,1077,11.1530559,79.2585797
