dist_code,dist_name,state_name,year,rainfall_jun,rainfall_jul,rainfall_aug,rainfall_sep,rainfall_kharif,rainfall_annual
15,Tikamgarh,Madhya Pradesh,2005,3.4,14.19,2.24,4.4,24.229999999999997,25.8
15,Tikamgarh,Madhya Pradesh,2006,3.04,8.83,8.31,3.29,23.47,26.3
15,Tikamgarh,Madhya Pradesh,2007,3.06,8.13,7.68,4.19,23.060000000000002,25.95
15,Tikamgarh,Madhya Pradesh,2008,10.94,7.88,7.58,5.06,31.459999999999997,32.699999999999996
15,Tikamgarh,Madhya Pradesh,2009,2.6,4.4,4.75,4.41,16.16,21.28
15,Tikamgarh,Madhya Pradesh,2010,3.2,8.47,7.76,5.36,24.79,28.61
15,Tikamgarh,Madhya Pradesh,2011,14.49,14.74,8.88,5.81,43.92,44.6
15,Tikamgarh,Madhya Pradesh,2012,0.96,10.25,9.12,3.82,24.15,25.14
15,Tikamgarh,Madhya Pradesh,2013,8.09,14.18,14.84,1.02,38.13,44.31
15,Tikamgarh,Madhya Pradesh,2014,1.23,7.98,9.41,4.67,23.29,29.080000000000002
15,Tikamgarh,Madhya Pradesh,2015,3.97,10.41,8.55,2.3,25.23,30.76
15,Tikamgarh,Madhya Pradesh,2016,3.1,13.85,11.51,0.76,29.220000000000002,31.97
15,Tikamgarh,Madhya Pradesh,2017,3.85,6.34,3.53,4.05,17.77,18.82
15,Tikamgarh,Madhya Pradesh,2018,2.14,12.64,8.98,6.48,30.240000000000002,30.84
15,Tikamgarh,Madhya Pradesh,2019,1.8,8.36,10.05,8.26,28.47,31.0
16,Chhatarpur,Madhya Pradesh,1990,4.95,9.56,8.14,10.62,33.27,35.88
16,Chhatarpur,Madhya Pradesh,1991,1.97,8.32,11.14,1.26,22.69,23.36
16,Chhatarpur,Madhya Pradesh,1992,0.46,6.18,11.58,5.95,24.169999999999998,26.580000000000002
16,Chhatarpur,Madhya Pradesh,1993,2.93,4.65,4.72,13.34,25.64,27.14
16,Chhatarpur,Madhya Pradesh,1994,4.52,11.01,11.25,2.41,29.19,30.78
16,Chhatarpur,Madhya Pradesh,1995,2.17,8.39,10.65,6.76,27.97,30.73
16,Chhatarpur,Madhya Pradesh,1996,3.17,10.98,10.11,4.39,28.65,32.92
16,Chhatarpur,Madhya Pradesh,1997,2.16,7.52,11.09,4.96,25.73,33.68
16,Chhatarpur,Madhya Pradesh,1998,2.4,7.95,8.3,5.09,23.74,25.59
16,Chhatarpur,Madhya Pradesh,1999,1.78,10.71,6.49,6.54,25.52,27.310000000000002
16,Chhatarpur,Madhya Pradesh,2000,1.86,5.93,4.59,1.59,13.969999999999999,14.84
16,Chhatarpur,Madhya Pradesh,2001,6.55,13.63,7.22,0.79,28.189999999999998,32.37
16,Chhatarpur,Madhya Pradesh,2002,2.21,2.1,12.13,5.57,22.01,24.82
16,Chhatarpur,Madhya Pradesh,2003,2.47,6.1,9.22,11.79,29.58,32.76
16,Chhatarpur,Madhya Pradesh,2004,3.98,6.73,10.02,2.86,23.59,26.27
16,Chhatarpur,Madhya Pradesh,2005,3.42,16.73,4.41,5.36,29.919999999999998,32.07
16,Chhatarpur,Madhya Pradesh,2006,3.28,9.65,6.56,2.42,21.909999999999997,24.85
16,Chhatarpur,Madhya Pradesh,2007,2.98,6.99,6.6,3.56,20.13,23.49
16,Chhatarpur,Madhya Pradesh,2008,9.19,8.79,7.91,4.55,30.439999999999998,31.869999999999997
16,Chhatarpur,Madhya Pradesh,2009,1.78,4.92,3.97,5.88,16.55,23.23
16,Chhatarpur,Madhya Pradesh,2010,2.42,7.78,7.81,6.85,24.86,27.99
16,Chhatarpur,Madhya Pradesh,2011,10.72,11.89,7.93,5.2,35.74,36.72
16,Chhatarpur,Madhya Pradesh,2012,1.16,9.81,10.86,4.25,26.08,27.25
16,Chhatarpur,Madhya Pradesh,2013,8.19,11.2,14.01,1.8,35.199999999999996,41.83
16,Chhatarpur,Madhya Pradesh,2014,1.4,7.37,6.28,5.01,20.060000000000002,26.52
16,Chhatarpur,Madhya Pradesh,2015,3.49,8.32,7.36,2.72,21.89,28.82
16,Chhatarpur,Madhya Pradesh,2016,2.99,15.14,13.84,1.55,33.52,36.45
16,Chhatarpur,Madhya Pradesh,2017,3.45,7.81,4.3,3.83,19.39,20.37
16,Chhatarpur,Madhya Pradesh,2018,1.98,13.78,9.22,7.16,32.14,33.26
16,Chhatarpur,Madhya Pradesh,2019,1.72,9.52,11.81,10.54,33.59,36.86
17,Panna,Madhya Pradesh,1990,8.92,11.18,9.59,10.94,40.63,43.3
17,Panna,Madhya Pradesh,1991,4.1,10.07,11.78,1.63,27.58,27.97
17,Panna,Madhya Pradesh,1992,0.96,8.11,13.53,8.27,30.87,32.65
17,Panna,Madhya Pradesh,1993,4.02,5.08,6.72,17.01,32.83,34.64
17,Panna,Madhya Pradesh,1994,4.85,14.72,15.61,3.21,38.39,40.39
17,Panna,Madhya Pradesh,1995,2.21,8.84,9.58,4.39,25.020000000000003,28.71
17,Panna,Madhya Pradesh,1996,4.47,8.33,9.95,3.62,26.37,30.82
17,Panna,Madhya Pradesh,1997,2.33,11.88,11.65,6.4,32.26,40.96
17,Panna,Madhya Pradesh,1998,1.85,7.54,10.12,6.26,25.769999999999996,28.34
17,Panna,Madhya Pradesh,1999,2.16,12.76,7.79,7.02,29.73,31.78
17,Panna,Madhya Pradesh,2000,3.73,7.64,5.25,2.71,19.33,20.349999999999998
17,Panna,Madhya Pradesh,2001,7.58,19.28,7.28,1.13,35.27,40.07
17,Panna,Madhya Pradesh,2002,3.01,3.75,14.84,8.07,29.67,33.61
17,Panna,Madhya Pradesh,2003,3.99,6.73,12.55,18.32,41.59,45.690000000000005
17,Panna,Madhya Pradesh,2004,7.66,7.49,10.83,3.92,29.9,32.77
17,Panna,Madhya Pradesh,2005,4.17,24.1,7.89,7.34,43.5,46.24
17,Panna,Madhya Pradesh,2006,2.56,12.71,6.53,2.03,23.830000000000002,27.12
17,Panna,Madhya Pradesh,2007,3.18,7.32,6.98,3.54,21.02,25.040000000000003
17,Panna,Madhya Pradesh,2008,8.71,9.45,7.69,3.56,29.41,31.22
17,Panna,Madhya Pradesh,2009,1.87,6.35,3.74,6.94,18.9,27.490000000000002
17,Panna,Madhya Pradesh,2010,1.62,9.39,8.47,8.45,27.930000000000003,30.44
17,Panna,Madhya Pradesh,2011,10.83,11.54,7.95,5.84,36.16,37.75
17,Panna,Madhya Pradesh,2012,1.79,12.17,14.48,4.99,33.43,34.75
17,Panna,Madhya Pradesh,2013,10.17,11.97,16.88,3.12,42.13999999999999,50.1
17,Panna,Madhya Pradesh,2014,2.29,7.82,4.89,5.78,20.78,28.39
17,Panna,Madhya Pradesh,2015,3.9,7.88,9.33,2.6,23.71,32.39
17,Panna,Madhya Pradesh,2016,2.7,20.72,17.95,3.76,45.129999999999995,48.269999999999996
17,Panna,Madhya Pradesh,2017,3.33,12.22,4.62,3.96,24.130000000000003,25.03
17,Panna,Madhya Pradesh,2018,2.19,14.19,9.61,6.44,32.43,33.8
17,Panna,Madhya Pradesh,2019,2.11,11.1,15.48,11.51,40.199999999999996,43.74
18,Rewa,Madhya Pradesh,1990,6.46,12.32,7.74,6.83,33.35,36.19
18,Rewa,Madhya Pradesh,1991,3.95,5.87,12.48,4.55,26.85,27.44
